emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,individual_id
excited,2,77.38957763869323,26.318654267823167,0.519,0.33,21.052,36.78,-0.056,-0.454,9.866,0.2,95.5,2025-07-16T19:04:08.339434,6
focused,1,89.18218083174972,59.716846088642384,0.388,0.079,16.363,36.48,0.102,0.045,9.78,0.633,96.9,2025-07-16T19:04:08.243226,49
anxious,4,119.48053805319735,15.662079449529125,0.761,0.365,18.944,37.1,0.93,-0.819,9.829,0.862,94.5,2025-07-16T19:04:08.564635,43
calm,0,62.15655446452659,55.64695747708525,0.301,0.049,15.167,36.61,-0.042,0.087,9.816,0.478,96.0,2025-07-16T19:04:08.136838,22
stressed,3,71.88697991328019,15.29321368943354,0.863,0.14,19.414,36.51,0.311,-0.069,9.911,0.718,94.7,2025-07-16T19:04:08.469887,6
calm,0,53.53707259651225,57.838381065891625,0.368,0.142,12.33,36.61,-0.023,0.251,9.749,0.226,97.4,2025-07-16T19:04:08.188163,23
focused,1,61.394339733629344,57.85730768070236,0.346,0.047,12.773,36.46,0.084,0.005,9.735,0.623,96.8,2025-07-16T19:04:08.255844,0
stressed,3,105.71798230217054,10.562723659637424,0.845,0.31,16.098,36.88,0.9,-0.325,9.619,0.26,95.1,2025-07-16T19:04:08.433774,37
anxious,4,96.03934155455856,9.58733206064421,0.823,0.493,20.179,37.07,-0.417,0.376,9.566,0.368,95.1,2025-07-16T19:04:08.546571,7
fatigued,5,67.43746326016846,29.66365282660844,0.22,0.155,12.977,36.59,0.072,-0.074,9.83,0.999,96.1,2025-07-16T19:04:08.595943,23
fatigued,5,70.32175063259606,21.086367695883197,0.201,0.094,12.002,36.55,0.015,0.037,9.826,0.217,97.7,2025-07-16T19:04:08.636087,1
calm,0,63.57176682268874,48.01605878204646,0.32,0.132,12.081,36.5,-0.08,0.085,9.82,0.585,97.1,2025-07-16T19:04:08.105776,17
excited,2,74.52380284714754,32.253137305902456,0.624,0.484,16.757,36.96,0.213,0.353,9.582,0.484,95.9,2025-07-16T19:04:08.345997,44
stressed,3,95.9132794950578,17.84636414291389,0.891,0.366,19.589,36.88,-0.245,0.661,9.758,0.695,94.7,2025-07-16T19:04:08.424067,9
stressed,3,94.78931244174915,17.62664568804769,0.5,0.2,17.036,37.13,-0.156,0.307,9.832,0.381,95.5,2025-07-16T19:04:08.487964,12
stressed,3,86.76584499054894,18.376622839044177,0.658,0.264,16.229,36.83,-0.026,0.08,9.712,0.355,96.2,2025-07-16T19:04:08.488610,2
excited,2,118.95657199943587,37.08543712348664,0.779,0.203,14.471,37.18,0.14,0.015,9.694,0.666,95.1,2025-07-16T19:04:08.310741,4
fatigued,5,59.10140371577595,9.31129328100805,0.279,0.093,10.28,36.74,-0.0,-0.011,9.874,0.329,97.0,2025-07-16T19:04:08.592796,24
anxious,4,122.16906398218184,16.495764143899898,0.95,0.345,19.415,37.19,0.155,-0.338,9.794,0.288,93.3,2025-07-16T19:04:08.535583,41
calm,0,68.39706107696215,40.770863677047146,0.417,0.025,14.208,36.51,-0.049,0.002,9.799,0.559,97.3,2025-07-16T19:04:08.134843,2
focused,1,93.93116357227836,58.93604553199905,0.378,0.052,15.028,36.64,0.021,0.057,9.831,0.234,96.8,2025-07-16T19:04:08.222871,49
fatigued,5,54.34073761854644,19.00624552910462,0.319,0.065,13.16,36.5,0.031,-0.085,9.831,0.133,97.6,2025-07-16T19:04:08.637654,24
calm,0,67.45068869009745,51.43936818414627,0.294,0.126,18.0,36.57,-0.089,0.179,9.735,0.236,96.5,2025-07-16T19:04:08.214249,6
calm,0,89.33818922409881,47.62134720010993,0.339,0.088,15.048,36.54,-0.146,0.0,9.803,0.173,96.3,2025-07-16T19:04:08.198562,49
anxious,4,105.26472763669027,14.005194207751272,0.753,0.218,18.0,37.0,-0.012,-0.115,9.846,0.151,95.2,2025-07-16T19:04:08.573485,48
calm,0,71.24859904649433,42.485149211174324,0.274,0.029,15.665,36.52,0.041,0.005,9.769,0.83,96.7,2025-07-16T19:04:08.133482,23
stressed,3,77.61004095927443,13.8925009598149,0.878,0.348,17.12,36.78,-0.287,-0.267,9.636,0.589,94.5,2025-07-16T19:04:08.414513,30
fatigued,5,59.53498431448959,19.590015748559882,0.226,0.102,9.551,36.38,-0.227,-0.107,9.806,0.777,97.4,2025-07-16T19:04:08.625516,36
focused,1,74.6482516863498,60.47727424264226,0.34,0.085,16.285,36.53,0.064,0.006,9.728,0.203,96.5,2025-07-16T19:04:08.217665,5
focused,1,67.76278927614584,51.36693184696818,0.374,0.006,15.671,36.58,0.004,-0.004,9.798,0.696,96.9,2025-07-16T19:04:08.267520,28
calm,0,52.79074089546635,28.62862488692166,0.247,0.074,17.857,36.25,-0.023,0.066,9.853,0.299,97.7,2025-07-16T19:04:08.127918,38
focused,1,76.46135014707934,52.75822077483188,0.397,0.04,13.996,36.58,-0.032,-0.029,9.814,0.632,96.7,2025-07-16T19:04:08.303141,12
anxious,4,91.94705178171536,14.167419428561477,0.794,0.15,20.53,36.57,-0.249,0.204,9.904,0.201,95.9,2025-07-16T19:04:08.559957,34
calm,0,61.36493675448376,33.37617707364468,0.396,0.0,10.0,36.6,0.0,0.0,9.8,0.481,97.4,2025-07-16T19:04:08.164981,24
anxious,4,126.35738425964759,8.0197081050408,0.947,0.152,24.395,37.08,0.081,0.291,9.865,0.948,94.4,2025-07-16T19:04:08.544228,4
excited,2,115.02896850372761,30.491830193554982,0.638,0.179,20.626,37.0,0.036,0.154,9.823,0.381,95.6,2025-07-16T19:04:08.376400,42
stressed,3,110.31260898586301,17.992823019305842,0.536,0.196,26.2,36.85,-0.02,0.103,9.726,0.515,95.2,2025-07-16T19:04:08.419350,7
fatigued,5,49.85496177281988,30.309443073874515,0.216,0.203,12.632,36.64,-0.105,-0.121,9.778,0.806,97.5,2025-07-16T19:04:08.629604,19
excited,2,112.61489166919047,39.68003857314631,0.761,0.401,18.234,36.96,-0.437,-0.793,9.671,0.297,94.2,2025-07-16T19:04:08.378477,23
excited,2,74.78124041933386,26.226409118514724,0.623,0.384,23.204,36.86,-0.308,0.145,9.639,0.601,95.9,2025-07-16T19:04:08.321669,6
fatigued,5,86.25803639181025,23.25876724724137,0.27,0.217,11.031,36.52,-0.04,-0.171,9.994,0.518,97.5,2025-07-16T19:04:08.602518,8
excited,2,76.57213087224942,43.913289143592344,0.775,0.309,15.359,36.9,0.025,-0.091,9.732,0.886,95.1,2025-07-16T19:04:08.380947,22
calm,0,80.57119758259715,40.72194804119352,0.271,0.065,16.76,36.45,-0.077,0.031,9.813,0.892,97.0,2025-07-16T19:04:08.199578,34
anxious,4,99.95106371826692,19.544644954141365,0.662,0.467,19.974,36.84,-0.258,0.11,10.014,0.474,96.2,2025-07-16T19:04:08.539516,42
calm,0,56.101723658578614,33.05483521917438,0.225,0.148,15.203,36.48,-0.241,-0.053,9.828,0.136,97.5,2025-07-16T19:04:08.185936,0
focused,1,71.46564896441286,38.137801095564456,0.383,0.041,15.207,36.54,0.047,0.026,9.802,0.496,96.7,2025-07-16T19:04:08.303773,31
excited,2,75.5556807484625,42.62485196240539,0.62,0.139,16.616,36.55,0.004,-0.119,9.806,0.349,96.0,2025-07-16T19:04:08.347216,23
fatigued,5,71.18681303375715,19.99255232587238,0.37,0.329,13.356,36.85,-0.072,-0.063,9.964,0.377,97.9,2025-07-16T19:04:08.586460,1
stressed,3,137.79745956142963,19.583165098968973,0.5,0.214,27.662,37.09,0.608,-0.037,9.796,0.174,95.6,2025-07-16T19:04:08.481457,11
focused,1,69.46914278835608,68.35099883227235,0.383,0.018,15.372,36.49,0.031,0.004,9.795,0.589,97.1,2025-07-16T19:04:08.230296,39
fatigued,5,69.26230503286389,15.635529925379048,0.229,0.26,14.292,36.67,-0.082,-0.212,9.87,0.332,97.6,2025-07-16T19:04:08.589045,7
calm,0,62.20016986030884,46.70826582802492,0.327,0.097,13.758,36.47,-0.219,-0.109,9.793,0.91,96.6,2025-07-16T19:04:08.134665,28
anxious,4,101.34959724869726,16.70719061469891,0.803,0.327,25.073,37.05,0.556,-0.017,9.83,0.136,95.1,2025-07-16T19:04:08.526628,2
fatigued,5,52.74621572780121,18.299315627220547,0.154,0.197,11.214,36.79,0.103,0.041,9.903,0.212,97.6,2025-07-16T19:04:08.639991,22
focused,1,69.64341044339476,40.878655249954065,0.47,0.071,13.598,36.35,-0.06,0.072,9.802,0.368,96.7,2025-07-16T19:04:08.252909,4
excited,2,66.25435606919477,43.06944030896893,0.797,0.29,16.089,36.78,-0.451,-0.132,9.652,0.739,95.6,2025-07-16T19:04:08.331725,18
excited,2,94.32094105991601,40.2957191932081,0.554,0.321,15.934,36.95,-0.161,-0.187,9.604,0.237,95.4,2025-07-16T19:04:08.346320,15
anxious,4,110.88511754527765,16.92684500959956,0.897,0.269,20.148,37.1,-0.084,0.203,9.774,0.434,93.4,2025-07-16T19:04:08.549692,0
anxious,4,92.08336119399439,23.21757131043531,0.897,0.508,18.0,37.08,0.594,-0.188,9.766,0.532,95.0,2025-07-16T19:04:08.551092,16
fatigued,5,63.72852571832351,23.466399033577137,0.236,0.087,11.135,36.57,0.02,0.071,9.773,0.14,96.3,2025-07-16T19:04:08.613316,9
stressed,3,104.82354636750959,12.47066211814381,0.9,0.147,24.406,36.59,0.037,-0.043,9.933,0.499,95.3,2025-07-16T19:04:08.428745,8
stressed,3,95.82083418764668,19.418411277177707,0.729,0.241,19.846,37.14,-0.042,-0.258,9.78,0.37,94.4,2025-07-16T19:04:08.449598,16
anxious,4,124.45891782384665,17.637249907316104,0.909,0.219,32.0,37.0,0.106,-0.095,9.789,0.343,94.4,2025-07-16T19:04:08.524929,14
fatigued,5,68.34146014936063,25.35454245545508,0.266,0.143,8.938,36.69,0.057,0.005,9.671,0.322,96.4,2025-07-16T19:04:08.607536,17
fatigued,5,42.199293909276335,28.013993615122956,0.33,0.206,12.544,36.41,0.208,-0.175,9.673,0.154,97.3,2025-07-16T19:04:08.656252,19
focused,1,78.20983318063853,47.06400762010016,0.428,0.064,14.793,36.71,-0.089,0.038,9.728,0.233,96.7,2025-07-16T19:04:08.303455,43
anxious,4,122.4155307201399,17.588854124415683,0.856,0.406,26.907,37.16,0.072,0.161,9.896,0.804,94.1,2025-07-16T19:04:08.502442,42
anxious,4,85.05265655461099,20.72354529100913,0.95,0.534,22.204,36.98,0.266,0.649,10.215,0.662,95.2,2025-07-16T19:04:08.501078,44
focused,1,87.13055714862463,46.01524740668578,0.301,0.066,13.432,36.73,-0.054,0.059,9.815,0.702,97.0,2025-07-16T19:04:08.276415,4
focused,1,51.14244031453904,39.6910732458653,0.461,0.077,16.868,36.66,0.032,0.028,9.813,0.561,96.1,2025-07-16T19:04:08.245792,18
calm,0,59.24298895259594,69.19925211952902,0.254,0.102,16.635,36.41,-0.047,0.149,9.774,0.254,96.9,2025-07-16T19:04:08.195975,39
focused,1,70.60561999883538,53.75944095105518,0.389,0.018,13.836,36.61,-0.027,-0.049,9.804,0.812,96.5,2025-07-16T19:04:08.295829,6
focused,1,90.96798240409677,55.40819619343517,0.39,0.063,14.854,36.76,0.034,0.069,9.762,0.479,97.0,2025-07-16T19:04:08.218368,14
anxious,4,102.09091185871833,24.271591168162423,0.861,0.313,18.253,36.83,-0.198,0.09,9.674,0.851,94.7,2025-07-16T19:04:08.506775,39
excited,2,71.20461807249802,48.284215404325984,0.581,0.249,21.135,36.39,-0.073,-0.128,9.818,0.658,95.7,2025-07-16T19:04:08.381233,16
stressed,3,65.96651784689085,19.858809082895025,0.525,0.302,25.553,36.9,0.498,0.139,10.002,0.474,97.6,2025-07-16T19:04:08.454264,30
calm,0,77.81400738588546,50.408852180029804,0.265,0.116,13.342,36.69,0.043,0.011,9.718,0.862,96.9,2025-07-16T19:04:08.113406,33
fatigued,5,59.14974230386541,11.694225115724263,0.225,0.114,13.615,36.58,-0.076,-0.127,9.793,0.261,97.7,2025-07-16T19:04:08.617688,12
fatigued,5,68.15917285984622,23.544960760956805,0.153,0.215,14.398,36.57,0.101,0.08,9.725,0.674,97.5,2025-07-16T19:04:08.616235,17
stressed,3,108.18979750355751,21.139255328689462,0.875,0.179,22.694,37.01,-0.027,0.147,9.792,0.159,94.9,2025-07-16T19:04:08.472987,20
fatigued,5,63.74547135022064,24.179739052176824,0.271,0.234,11.182,36.63,-0.305,0.05,9.942,0.438,96.8,2025-07-16T19:04:08.657036,44
focused,1,73.30724728172471,46.756876288832295,0.388,0.063,13.736,36.75,0.019,0.004,9.779,0.372,96.1,2025-07-16T19:04:08.224339,5
calm,0,56.392541707347505,33.180712934085825,0.271,0.109,12.49,36.48,-0.085,-0.007,9.836,0.391,97.0,2025-07-16T19:04:08.107786,3
stressed,3,99.31457116354895,15.860849210305345,0.81,0.515,17.237,37.2,-0.581,-0.233,10.135,0.185,94.9,2025-07-16T19:04:08.427115,26
anxious,4,67.38561357437452,20.827626992699386,0.836,0.443,18.29,36.86,0.334,-0.183,9.673,0.727,95.4,2025-07-16T19:04:08.521393,22
anxious,4,124.04827057146481,12.588622231776885,0.818,0.589,26.131,37.58,-0.348,-0.212,9.798,0.625,94.2,2025-07-16T19:04:08.536839,12
excited,2,73.48573590592564,27.31985676429817,0.546,0.635,17.232,36.87,-0.994,-0.823,9.884,0.71,95.9,2025-07-16T19:04:08.319640,0
calm,0,58.18017314805124,48.691717290705625,0.421,0.123,14.196,36.57,0.187,-0.023,9.793,0.527,96.4,2025-07-16T19:04:08.154517,35
focused,1,77.57905771935093,44.81390354485406,0.313,0.071,15.367,36.59,0.071,0.088,9.882,0.232,96.2,2025-07-16T19:04:08.302351,37
stressed,3,78.10124067955772,28.44552074203168,0.686,0.139,16.447,36.92,0.261,0.22,9.836,0.951,96.3,2025-07-16T19:04:08.436380,32
excited,2,99.32981916025514,40.1984798431132,0.682,0.525,17.317,37.13,-0.487,-0.171,9.875,0.94,95.3,2025-07-16T19:04:08.315738,12
anxious,4,91.77757674128021,21.86724928028062,0.919,0.23,18.0,36.73,-0.202,-0.492,9.811,0.446,95.3,2025-07-16T19:04:08.499159,48
calm,0,79.2569798952431,46.88193232909658,0.235,0.068,13.384,36.61,0.053,0.006,9.815,0.86,96.7,2025-07-16T19:04:08.131446,25
anxious,4,92.34293379433075,18.954260063119484,0.839,0.206,18.206,37.02,0.084,0.276,9.807,0.748,95.0,2025-07-16T19:04:08.533076,22
anxious,4,82.00102609607407,13.63407278845165,0.828,0.347,28.86,37.06,0.304,0.224,9.851,0.202,95.4,2025-07-16T19:04:08.526198,24
stressed,3,108.19976030021276,33.1392203182272,0.643,0.368,25.214,37.14,0.573,0.127,9.798,0.123,95.4,2025-07-16T19:04:08.455226,28
fatigued,5,65.26930877243846,22.2533563609003,0.273,0.051,10.386,36.55,-0.011,0.012,9.778,0.227,97.1,2025-07-16T19:04:08.649946,41
focused,1,71.16712165082849,47.313823757593724,0.385,0.024,13.454,36.61,0.011,-0.026,9.79,0.624,97.2,2025-07-16T19:04:08.271096,46
calm,0,58.95885945487382,39.05351678658949,0.404,0.056,11.826,36.42,-0.01,-0.011,9.822,0.753,97.2,2025-07-16T19:04:08.133908,17
stressed,3,117.74806231240514,19.680458270755537,0.624,0.319,21.725,37.17,0.526,-0.258,9.842,0.713,95.4,2025-07-16T19:04:08.431014,26
anxious,4,160.20595613853803,19.492802975754635,0.849,0.281,25.801,37.18,-0.758,-0.006,9.777,0.429,94.0,2025-07-16T19:04:08.541649,11
excited,2,94.22526567229981,40.29113123016111,0.638,0.364,15.979,36.84,-0.46,-0.231,9.979,0.387,95.8,2025-07-16T19:04:08.328954,2
anxious,4,115.48936998292524,11.969464917919305,0.668,0.185,25.711,36.77,0.022,-0.048,9.839,0.685,95.4,2025-07-16T19:04:08.568703,15
stressed,3,89.34224457499515,27.66353643067554,0.871,0.136,26.856,36.64,0.101,0.07,9.794,0.15,95.3,2025-07-16T19:04:08.451368,42
fatigued,5,71.86509243443975,16.221373565722768,0.207,0.155,11.475,36.66,-0.196,-0.298,9.904,0.323,98.1,2025-07-16T19:04:08.655470,42
excited,2,85.20399954541227,40.62201550070825,0.615,0.31,20.243,37.13,0.224,0.11,10.126,0.112,95.7,2025-07-16T19:04:08.392984,6
anxious,4,86.41723093929495,15.296790853802127,0.789,0.187,18.0,36.8,-0.045,-0.011,9.845,0.51,95.9,2025-07-16T19:04:08.540146,25
fatigued,5,58.67279854283754,30.950547752588164,0.245,0.197,14.015,36.6,0.323,0.149,9.727,0.616,97.6,2025-07-16T19:04:08.629126,16
stressed,3,88.23280860786866,14.271498048596671,0.847,0.262,16.958,36.75,-0.023,0.152,9.79,0.917,95.5,2025-07-16T19:04:08.419680,34
excited,2,86.14583606718024,38.040851686176474,0.519,0.476,21.329,36.91,-0.517,-0.132,9.631,0.92,96.4,2025-07-16T19:04:08.333351,26
focused,1,73.74098021580005,50.41454419327621,0.543,0.07,17.799,36.65,-0.058,-0.003,9.778,0.245,96.4,2025-07-16T19:04:08.281041,21
focused,1,83.29084337234463,48.33877389974449,0.366,0.036,17.597,36.48,-0.052,0.02,9.777,0.503,97.2,2025-07-16T19:04:08.263106,8
stressed,3,96.56256296269686,22.939226678442726,0.855,0.1,20.474,36.82,-0.123,-0.051,9.852,0.265,95.2,2025-07-16T19:04:08.443952,42
fatigued,5,48.54695620856162,20.450332930044887,0.293,0.092,12.478,36.37,0.159,0.056,9.79,0.581,98.3,2025-07-16T19:04:08.599480,3
excited,2,111.67288042468296,29.011484490779125,0.68,0.274,19.491,36.81,0.012,0.094,9.745,0.907,96.0,2025-07-16T19:04:08.371541,11
fatigued,5,75.9293692568441,20.988330131202453,0.241,0.227,9.996,36.55,-0.181,-0.115,9.741,0.289,96.6,2025-07-16T19:04:08.642445,14
calm,0,60.30347829108384,32.2746773814201,0.151,0.15,15.272,36.69,-0.142,-0.31,9.715,0.664,97.2,2025-07-16T19:04:08.138480,0
anxious,4,122.17559013489927,15.408268237696626,0.796,0.254,18.0,36.89,0.169,0.424,9.868,0.148,94.5,2025-07-16T19:04:08.566979,33
excited,2,82.68926502668533,18.68014276395942,0.708,0.408,20.405,36.72,1.094,0.022,9.567,0.842,95.7,2025-07-16T19:04:08.410395,38
focused,1,77.15038840630454,74.21321891869802,0.336,0.074,17.283,36.69,0.113,0.043,9.787,0.801,96.8,2025-07-16T19:04:08.295035,39
anxious,4,86.0511518058784,19.015240681619257,0.871,0.176,28.223,36.85,-0.157,0.107,9.736,0.137,96.2,2025-07-16T19:04:08.552030,46
anxious,4,73.50534428437977,16.58265227918058,0.856,0.353,18.0,36.89,0.552,-0.213,9.888,0.391,94.6,2025-07-16T19:04:08.547194,18
excited,2,60.26832107052991,26.195912462829973,0.592,0.43,19.6,36.83,-0.026,-0.573,9.926,0.431,96.1,2025-07-16T19:04:08.403543,19
anxious,4,147.32671926126702,20.242787493604226,0.877,0.501,18.0,37.28,-0.269,0.942,9.639,0.69,94.7,2025-07-16T19:04:08.566664,47
excited,2,95.76699617249724,49.473065966990646,0.601,0.453,22.727,37.01,-0.12,0.058,9.606,0.605,95.4,2025-07-16T19:04:08.326995,0
stressed,3,70.14812977547162,23.641636804526122,0.809,0.162,18.844,36.91,0.038,0.129,9.806,0.454,95.3,2025-07-16T19:04:08.443100,30
calm,0,76.50804226548732,55.51410659123037,0.202,0.096,13.144,36.54,-0.038,0.133,9.861,0.152,96.6,2025-07-16T19:04:08.142706,44
fatigued,5,68.83410963740018,14.308921779366662,0.263,0.191,8.908,36.43,-0.121,-0.319,9.695,0.408,97.5,2025-07-16T19:04:08.606910,47
stressed,3,86.65308878318355,15.955073393397333,0.678,0.266,20.997,36.92,-0.069,0.46,9.851,0.648,96.5,2025-07-16T19:04:08.466312,25
stressed,3,110.64638121250074,19.53516112794189,0.624,0.125,18.448,36.95,0.176,0.101,9.766,0.297,95.6,2025-07-16T19:04:08.429553,34
anxious,4,81.44747403343771,15.546702494537616,0.723,0.327,18.0,37.05,-0.354,0.234,9.992,0.531,95.1,2025-07-16T19:04:08.546416,18
excited,2,72.56303204261111,21.690904002899742,0.698,0.314,23.819,36.65,0.394,-0.032,9.802,0.692,94.3,2025-07-16T19:04:08.366568,30
focused,1,59.75178485477854,39.40251636116947,0.261,0.044,15.895,36.46,0.028,0.1,9.778,0.43,98.1,2025-07-16T19:04:08.298535,3
calm,0,92.7237184347531,25.73095357398803,0.282,0.015,14.935,36.77,-0.002,0.019,9.815,0.275,97.0,2025-07-16T19:04:08.213449,33
anxious,4,75.52189181302785,22.732611929529575,0.884,0.346,25.406,37.02,0.717,-0.21,9.938,0.379,95.0,2025-07-16T19:04:08.556585,22
focused,1,82.88101995475164,44.12080711301239,0.391,0.018,15.208,36.61,0.004,-0.003,9.798,0.586,96.3,2025-07-16T19:04:08.221716,48
anxious,4,116.57718423442711,11.317309433241324,0.854,0.498,25.706,37.27,0.66,-0.495,9.894,0.715,94.6,2025-07-16T19:04:08.552961,2
stressed,3,76.57213087224942,13.837788961295185,0.55,0.244,22.883,36.81,0.231,-0.289,10.094,0.84,95.3,2025-07-16T19:04:08.462171,22
anxious,4,97.1064306643832,15.113503315595663,0.684,0.32,18.09,36.75,0.358,0.18,9.963,0.15,96.2,2025-07-16T19:04:08.547665,15
fatigued,5,66.20609659601242,16.578122529795493,0.291,0.124,13.201,36.51,-0.086,-0.038,9.751,0.936,98.1,2025-07-16T19:04:08.584494,9
stressed,3,119.13875829593744,23.41359001390272,0.812,0.328,23.697,36.93,0.318,-0.327,9.71,0.813,95.2,2025-07-16T19:04:08.496594,9
anxious,4,125.04229171646757,18.715603878947924,0.883,0.541,18.0,37.39,-0.495,-0.196,9.818,0.113,94.6,2025-07-16T19:04:08.513137,49
calm,0,66.92332034891724,51.331913740479486,0.349,0.182,11.678,36.61,0.265,0.202,9.804,0.297,96.7,2025-07-16T19:04:08.204880,46
stressed,3,91.03573508770151,24.796174585550926,0.791,0.334,16.238,36.93,-0.141,0.085,9.573,0.476,95.3,2025-07-16T19:04:08.458436,49
calm,0,63.13904448850496,59.900448852353854,0.44,0.106,12.337,36.48,-0.082,0.1,9.708,0.108,97.0,2025-07-16T19:04:08.156828,25
anxious,4,113.14748907343045,17.477312358049602,0.813,0.233,18.0,36.82,-0.281,0.144,9.67,0.568,95.6,2025-07-16T19:04:08.523423,8
focused,1,101.80093989008365,52.842070886949394,0.298,0.05,13.87,36.53,-0.041,0.102,9.809,0.738,97.3,2025-07-16T19:04:08.261630,40
stressed,3,82.93833406885794,24.259309993900896,0.9,0.354,24.092,37.06,0.382,0.035,9.741,0.113,94.8,2025-07-16T19:04:08.429886,22
fatigued,5,88.02175979368536,27.961024808412464,0.28,0.068,11.634,36.5,-0.025,-0.051,9.82,0.397,97.8,2025-07-16T19:04:08.650103,11
focused,1,75.82641984184181,49.8853751542027,0.341,0.033,16.495,36.49,0.033,-0.025,9.829,0.547,95.8,2025-07-16T19:04:08.286443,5
fatigued,5,51.49769998148306,29.48146881861774,0.249,0.291,15.529,36.47,0.195,0.267,9.575,0.236,97.7,2025-07-16T19:04:08.644783,18
excited,2,72.91776604512009,37.37310192490064,0.607,0.387,18.901,36.83,-0.431,0.217,9.96,0.865,96.5,2025-07-16T19:04:08.327818,35
excited,2,94.03074505869692,28.40709757930027,0.639,0.337,24.0,36.9,0.878,-0.181,9.964,0.784,94.7,2025-07-16T19:04:08.327655,17
anxious,4,91.94133095875915,17.17098577956293,0.804,0.416,26.19,36.81,0.057,0.143,9.451,0.701,95.5,2025-07-16T19:04:08.543135,10
anxious,4,97.03293640148866,12.527883064714159,0.785,0.372,18.0,37.02,-0.136,-0.568,9.95,0.552,94.8,2025-07-16T19:04:08.565884,44
fatigued,5,64.54118130198155,27.35809943446938,0.223,0.094,9.635,36.39,-0.01,-0.023,9.809,0.945,97.5,2025-07-16T19:04:08.609054,37
focused,1,87.20296831776457,43.30063529354997,0.372,0.053,14.825,36.54,-0.046,-0.009,9.808,0.469,97.1,2025-07-16T19:04:08.230636,8
focused,1,93.13472074896252,44.21032458024457,0.353,0.028,15.045,36.43,-0.082,0.019,9.802,0.859,96.4,2025-07-16T19:04:08.280728,43
focused,1,90.42101777884463,47.504049589913656,0.469,0.052,15.501,36.83,0.029,-0.102,9.835,0.972,96.8,2025-07-16T19:04:08.216405,5
calm,0,76.4253479377717,56.03884078044603,0.282,0.188,16.68,36.55,0.142,0.14,9.765,0.945,97.6,2025-07-16T19:04:08.203218,43
stressed,3,108.6860481008873,24.944305534440314,0.549,0.262,17.474,36.83,-0.592,-0.043,9.704,0.184,96.5,2025-07-16T19:04:08.459635,42
focused,1,71.76512434130746,68.34007337691585,0.481,0.012,15.875,36.65,0.025,0.016,9.809,0.53,96.7,2025-07-16T19:04:08.290878,46
focused,1,68.10838074885275,44.05002103611507,0.439,0.053,15.598,36.57,0.027,-0.052,9.804,0.591,97.1,2025-07-16T19:04:08.237209,23
focused,1,86.46243702604026,40.46917121768437,0.398,0.077,15.203,36.69,0.129,0.036,9.814,0.788,96.2,2025-07-16T19:04:08.240158,25
calm,0,68.70861435703664,37.67997760228434,0.339,0.007,13.876,36.51,-0.008,-0.015,9.802,0.86,97.0,2025-07-16T19:04:08.155181,23
stressed,3,80.55021112123987,23.097582368134088,0.508,0.372,16.92,36.97,-0.262,0.219,9.723,0.485,96.7,2025-07-16T19:04:08.433450,6
stressed,3,108.06086317660674,17.472825766922327,0.514,0.421,23.779,36.91,0.245,0.727,9.737,0.129,95.7,2025-07-16T19:04:08.429229,47
focused,1,82.52612041891705,50.74457815718101,0.436,0.023,15.758,36.58,0.044,-0.016,9.803,0.645,96.6,2025-07-16T19:04:08.263930,5
fatigued,5,88.9224853887246,14.91741368335729,0.281,0.136,15.111,36.44,0.181,0.035,9.727,0.114,96.7,2025-07-16T19:04:08.587248,11
calm,0,103.25274665535017,37.15295043145654,0.322,0.175,12.045,36.68,0.211,-0.212,9.778,0.839,96.6,2025-07-16T19:04:08.143206,11
calm,0,58.618836056651396,61.04573512840714,0.301,0.103,14.994,36.36,-0.021,0.091,9.864,0.468,97.2,2025-07-16T19:04:08.183872,6
calm,0,83.34488492897403,44.744828130670356,0.314,0.057,10.182,36.48,-0.019,-0.179,9.87,0.9,97.2,2025-07-16T19:04:08.181028,45
fatigued,5,59.085132449922064,32.26999986173696,0.286,0.163,10.763,36.44,0.016,-0.229,9.798,0.642,96.3,2025-07-16T19:04:08.660531,32
focused,1,79.56854776257929,40.2248737670093,0.358,0.082,17.54,36.46,0.02,0.003,9.873,0.783,96.4,2025-07-16T19:04:08.232440,4
anxious,4,95.18030698051331,21.702606117966408,0.664,0.453,32.0,36.89,-0.001,-0.659,10.139,0.824,94.9,2025-07-16T19:04:08.511732,23
anxious,4,91.98589912683606,16.716167211282134,0.683,0.36,23.067,36.95,-0.102,-0.189,10.008,0.777,95.8,2025-07-16T19:04:08.566194,14
fatigued,5,77.35174269640507,25.92504383040721,0.204,0.242,12.314,36.57,0.331,0.091,9.658,0.317,97.8,2025-07-16T19:04:08.662720,15
fatigued,5,57.97117704960951,25.160288435426125,0.243,0.202,10.569,36.6,0.028,0.191,9.82,0.278,97.0,2025-07-16T19:04:08.617525,3
focused,1,80.62465220438649,42.43570954912772,0.477,0.045,12.172,36.65,-0.073,-0.064,9.819,0.827,96.6,2025-07-16T19:04:08.288823,2
stressed,3,112.07443078463486,19.515468430555565,0.688,0.15,18.557,36.74,-0.008,0.199,9.82,0.247,95.1,2025-07-16T19:04:08.471523,8
excited,2,92.5012502019234,27.581228100204807,0.432,0.412,18.777,37.05,0.063,-0.033,9.852,0.403,96.2,2025-07-16T19:04:08.400398,14
